title,age_limit,rating,rating_count,genre,director,actor
오늘부터 우리는!!,15세 관람가,5.50,8,"코미디, 액션",후쿠다 유이치,"이토 켄타로, 카쿠 켄토, 세이노 나나, 하시모토 칸나"
복지식당,12세 관람가,8.11,55,드라마,"정재익, 서태수","조민상, 한태경, 임호준, 송민혁"
태어나길 잘했어,12세 관람가,8.16,81,드라마,최진영,"강진아, 박혜진, 홍상표"
그리스도 디 오리진,12세 관람가,6.87,23,드라마,로버트 사보,"강진아, 박혜진, 홍상표"
신비한 동물들과 덤블도어의 비밀,12세 관람가,6.53,"3,091","판타지, 모험, 가족",데이빗 예이츠,"에디 레드메인, 주드 로, 매즈 미켈슨, 댄 포글러, 앨리슨 수돌, 에즈라 밀러, 칼럼 터너, 제시카 윌리엄스, 빅토리아 예이츠, 윌리엄 나딜람, 리처드 코일"
말임씨를 부탁해,전체 관람가,9.27,124,드라마,박경목,"김영옥, 김영민, 박성연, 김혜나, 이정은"
행복을 전하는 편지,전체 관람가,8.17,6,드라마,스베틀라나 수하노바,"잘림 미르조에프, 빅터 쿡린, 예핌 카메네츠키, 에라 지간시나"
수퍼 소닉2,전체 관람가,8.26,655,"애니메이션, 액션, 모험, 코미디, 가족, 판타지, SF",제프 파울러,"제임스 마스던, 짐 캐리, 벤 슈와츠, 이드리스 엘바, 티카 섬터, 콜린 오슐그네시"
루이스 웨인: 사랑을 그린 고양이 화가,12세 관람가,7.95,537,"드라마, 멜로/로맨스",윌 샤프,"베네딕트 컴버배치, 클레어 포이"
로망스 돌,청소년 관람불가,7.33,24,"멜로/로맨스, 드라마",타나다 유키,"아오이 유우, 타카하시 잇세이"
역할들,12세 관람가,9.94,31,드라마,연송하,"윤종구, 김범석, 김원정, 연송하, 윤정일, 박재철"
사랑 후의 두 여자,15세 관람가,7.79,43,드라마,알림 칸,"조안나 스캔런, 나탈리 리차드"
부에노스 아이레스 제로 디그리,12세 관람가,0.00,0,"다큐멘터리, 드라마",관본량,"장국영, 양조위, 장첸, 관숙의, 왕가위"
스펜서,12세 관람가,7.72,894,드라마,파블로 라라인,크리스틴 스튜어트
보드랍게,전체 관람가,9.50,16,다큐멘터리,박문칠,김순악
극장판 주술회전 0,15세 관람가,9.25,"1,506",애니메이션,박성후,"오가타 메구미, 하나자와 카나, 코마츠 미카코, 우치야마 코우키, 세키 토모카즈, 나카무라 유이치, 사쿠라이 타카히로"
어나더 라운드,15세 관람가,8.33,431,드라마,토마스 빈터베르그,"매즈 미켈슨, 토머스 보 라센, 라르스 란데"
씽2게더,전체 관람가,9.39,"2,665",애니메이션,가스 제닝스,"매튜 맥커너히, 리즈 위더스푼, 스칼릿 조핸슨, 태런 에저튼, 토리 켈리, 퍼렐 윌리엄스, 보노"
디어 에반 핸슨,12세 관람가,7.47,"1,056","뮤지컬, 드라마",스티븐 크보스키,"벤 플랫, 줄리안 무어, 에이미 아담스, 케이틀린 디버, 아만들라 스텐버그, 닉 도다니, 콜튼 라이언"
퍼스트 카우,12세 관람가,8.32,238,드라마,켈리 라이카트,"존 마가로, 오리온 리"
당신얼굴 앞에서,15세 관람가,7.65,116,드라마,홍상수,"이혜영, 조윤희, 권해효"
미켈란젤로,12세 관람가,8.46,13,"드라마, 다큐멘터리",엠마누엘레 임부치,"이혜영, 조윤희, 권해효"
날씨의 아이,15세 관람가,7.96,"6,281",애니메이션,신카이 마코토,"심규혁, 김유림, 최한, 강은애, 이장원, 손정아, 다이고 코타로, 모리 나나, 오구리 슌, 혼다 츠바사, 히라이즈미 세이"
꿈꾸는 고양이,전체 관람가,9.86,42,다큐멘터리,"지원, 강민현",남기형
코다,12세 관람가,9.13,948,드라마,션 헤이더,"에밀리아 존스, 퍼디아 월시-필로, 트로이 코처, 다니엘 듀런트, 말리 매트린, 에우헤니오 데르베스, 에이미 포사이스"
까치발,12세 관람가,8.19,21,다큐멘터리,권우정,"권우정, 정지후"
해피 투게더,15세 관람가,9.19,"1,222",드라마,왕가위,"장국영, 양조위, 장첸"
